,names,scores,logfoldchanges,pvals,pvals_adj
166,SPOCK2,17.487326,1.6472857,1.7896283260455434e-68,2.455848684863544e-66
167,PSMD2,17.427816,2.0598438,5.074711411948849e-68,6.923607714232872e-66
168,HSP90AA1,17.305513,1.8375143,4.274470226914086e-67,5.765161186620181e-65
169,DNAJB11,17.223076,2.030453,1.782555940540816e-66,2.390549310487777e-64
170,SNRPD2,17.108496,1.962336,1.2826877996784133e-65,1.7104678042830276e-63
171,SLCO4A1,17.075123,2.0126977,2.2734565411085325e-65,3.014628917965432e-63
172,SEPTIN2,17.05955,1.5382298,2.9683766323219133e-65,3.914111377245482e-63
173,ITPR2,17.00835,1.928236,7.1214075731750535e-65,9.338143497202822e-63
174,NDUFA4,17.00538,1.7247033,7.491759639964174e-65,9.769502916136708e-63
175,ST3GAL5,16.990395,2.645854,9.67354212449538e-65,1.2545308503542002e-62
176,NCBP2,16.977648,1.97429,1.2020794452147797e-64,1.5504197347215544e-62
177,CD81,16.966812,1.6049712,1.44571620578464e-64,1.8545238915834161e-62
178,BEX2,16.949274,1.9847517,1.948437690833102e-64,2.4858905306342544e-62
180,SUMO2,16.930637,1.7871237,2.6746594952558634e-64,3.3759351907232165e-62
181,ATP11B,16.928373,1.7874249,2.7795399772058403e-64,3.489653302233481e-62
182,OTULIN,16.89902,2.3318024,4.5745694750153153e-64,5.712886948083941e-62
183,MTSS1,16.759401,1.667831,4.8346352091257813e-63,6.0058892021576744e-61
184,DMD,16.752806,2.8939722,5.401739090051189e-63,6.675248572904619e-61
185,EEF1A1,16.675459,29.124739,1.9768695107884857e-62,2.4302109928719076e-60
186,HLA-F,16.638632,1.5397304,3.658876602519159e-62,4.474635463692213e-60
187,SYAP1,16.603453,1.8208256,6.579571689342939e-62,8.005032504307288e-60
188,LITAF,16.596489,1.733218,7.388787400606867e-62,8.94346405212943e-60
189,HSP90AB1,16.589958,4.408016,8.23767876665362e-62,9.920098567822725e-60
190,BACH2,16.578678,1.5472353,9.939212448529943e-62,1.1908387381860521e-59
191,ATP6V1G1,16.508804,1.5566984,3.1710735046709156e-61,3.780143834886244e-59
192,U2SURP,16.50828,1.5348803,3.198697948756337e-61,3.7939129489696395e-59
193,FTL,16.449543,5.106252,8.450236612480232e-61,9.972546738218547e-59
194,CYB561A3,16.413017,2.316758,1.5434220284972967e-60,1.8124074695831688e-58
195,YWHAH,16.389118,1.7386345,2.2873536802617496e-60,2.6726935106543603e-58
196,TPM4,16.369553,1.7115772,3.1552090564206173e-60,3.668591101413588e-58
197,HNRNPA3,16.369226,1.5544974,3.172216102916138e-60,3.6702851312318436e-58
198,FCER2,16.341036,1.7520537,5.038951432666884e-60,5.8016766178164124e-58
199,CDKN1A,16.321,1.8986083,6.998096888303596e-60,8.018256352166494e-58
200,YBX1,16.229845,2.411037,3.1024181235443283e-59,3.537506037198878e-57
